mach,cd
3.56,1.860749
3.57,1.861253
3.58,1.861753
3.59,1.862247
3.6,1.862735
3.61,1.863218
3.62,1.863695
3.63,1.864167
3.64,1.864633
3.65,1.865095
3.66,1.865551
3.67,1.866003
3.68,1.866449
3.69,1.86689
3.7,1.867327
3.71,1.867758
3.72,1.868186
3.73,1.868608
3.74,1.869027
3.75,1.869439
3.76,1.869849
3.77,1.870253
3.78,1.870653
3.79,1.871049
3.8,1.87144
3.81,1.871827
3.82,1.872211
3.83,1.872589
3.84,1.872965
3.85,1.873336
3.86,1.87366
3.87,1.873979
3.88,1.874294
3.89,1.874605
3.9,1.874913
3.91,1.875218
3.92,1.875518
3.93,1.875815
3.94,1.876108
3.95,1.876399
3.96,1.876686
3.97,1.876969
3.98,1.877249
3.99,1.877525
4,1.877799
4.01,1.878068
4.02,1.878336
4.03,1.878599
4.04,1.87886
4.05,1.879118
4.06,1.879372
4.07,1.879623
4.08,1.879872
4.09,1.880118
4.1,1.88036
4.11,1.880599
4.12,1.880837
4.13,1.881071
4.14,1.881302
4.15,1.881531
4.16,1.881758
4.17,1.881981
4.18,1.882201
4.19,1.882419
4.2,1.882635
4.21,1.882848
4.22,1.883059
4.23,1.883267
4.24,1.883472
4.25,1.883675
4.26,1.883876
4.27,1.884073
4.28,1.88427
4.29,1.884463
4.3,1.884655
4.31,1.884844
4.32,1.88503
4.33,1.885215
4.34,1.885397
4.35,1.885577
4.36,1.885755
4.37,1.885931
4.38,1.886105
4.39,1.886287
4.4,1.886491
4.41,1.886693
4.42,1.886893
4.43,1.887088
4.44,1.887282
4.45,1.887473
4.46,1.887661
4.47,1.887847
4.48,1.88803
4.49,1.888211
4.5,1.888388
4.51,1.888564
4.52,1.888737
4.53,1.888908
4.54,1.889076
4.55,1.889241
4.56,1.889404
4.57,1.889565
4.58,1.889723
4.59,1.889879
4.6,1.890033
4.61,1.890185
4.62,1.890333
4.63,1.89048
4.64,1.890624
4.65,1.890767
4.66,1.890906
4.67,1.891044
4.68,1.891179
4.69,1.891313
4.7,1.891444
4.71,1.891573
4.72,1.8917
