mach,cd
3.56,1.892738
3.57,1.893118
3.58,1.893493
3.59,1.893863
3.6,1.894226
3.61,1.894584
3.62,1.894937
3.63,1.895284
3.64,1.895626
3.65,1.895963
3.66,1.896294
3.67,1.896621
3.68,1.896943
3.69,1.897259
3.7,1.897572
3.71,1.897878
3.72,1.898181
3.73,1.898479
3.74,1.898773
3.75,1.899061
3.76,1.899345
3.77,1.899625
3.78,1.8999
3.79,1.900172
3.8,1.900438
3.81,1.900701
3.82,1.90096
3.83,1.901214
3.84,1.901465
3.85,1.901711
3.86,1.901954
3.87,1.902193
3.88,1.902428
3.89,1.902658
3.9,1.902886
3.91,1.90311
3.92,1.90333
3.93,1.903547
3.94,1.90376
3.95,1.90397
3.96,1.904176
3.97,1.904378
3.98,1.904579
3.99,1.904774
4,1.904968
4.01,1.905157
4.02,1.905343
4.03,1.905527
4.04,1.905707
4.05,1.905884
4.06,1.906058
4.07,1.906229
4.08,1.906397
4.09,1.906562
4.1,1.906724
4.11,1.906883
4.12,1.90704
4.13,1.907194
4.14,1.907345
4.15,1.907493
4.16,1.907639
4.17,1.907782
4.18,1.907922
4.19,1.90806
4.2,1.908195
4.21,1.908328
4.22,1.908458
4.23,1.908585
4.24,1.90871
4.25,1.908833
4.26,1.908953
4.27,1.90907
4.28,1.909186
4.29,1.909299
4.3,1.90941
4.31,1.909519
4.32,1.909625
4.33,1.909729
4.34,1.909831
4.35,1.90993
4.36,1.910028
4.37,1.910123
4.38,1.910217
4.39,1.910308
4.4,1.910397
4.41,1.910483
4.42,1.910569
4.43,1.910651
4.44,1.910733
4.45,1.910811
4.46,1.910888
4.47,1.910963
4.48,1.911036
4.49,1.911108
4.5,1.911176
4.51,1.911244
4.52,1.911309
4.53,1.911374
4.54,1.911435
4.55,1.911495
4.56,1.911553
4.57,1.91161
4.58,1.911664
4.59,1.911717
4.6,1.911768
4.61,1.911819
4.62,1.911866
4.63,1.911913
4.64,1.911956
4.65,1.912
4.66,1.91204
4.67,1.91208
4.68,1.912117
4.69,1.912154
4.7,1.912189
4.71,1.912221
4.72,1.912253
4.73,1.912282
4.74,1.912311
4.75,1.912337
4.76,1.912363
4.77,1.912386
4.78,1.912408
4.79,1.912429
4.8,1.912448
4.81,1.912466
4.82,1.912481
4.83,1.912496
4.84,1.912509
4.85,1.912521
4.86,1.912531
4.87,1.91254
4.88,1.912548
4.89,1.912553
4.9,1.912558
4.91,1.912561
4.92,1.912563
4.93,1.912563
4.94,1.912562
4.95,1.912559
4.96,1.912556
4.97,1.91255
4.98,1.912544
4.99,1.912536
5,1.912526
5.01,1.912544
5.02,1.91254
5.03,1.912534
5.04,1.912528
5.05,1.91252
5.06,1.91251
5.07,1.9125
5.08,1.912489
5.09,1.912476
5.1,1.912462
5.11,1.912447
5.12,1.912431
5.13,1.912414
5.14,1.912395
5.15,1.912376
5.16,1.912355
5.17,1.912333
5.18,1.91231
5.19,1.912285
5.2,1.912259
5.21,1.912233
5.22,1.912205
5.23,1.912176
5.24,1.912146
5.25,1.912115
5.26,1.912082
5.27,1.912049
5.28,1.912014
5.29,1.911978
5.3,1.911942
5.31,1.911903
5.32,1.911864
5.33,1.911824
5.34,1.911782
5.35,1.911739
5.36,1.911695
5.37,1.91165
5.38,1.911605
5.39,1.911558
5.4,1.911509
5.41,1.911459
5.42,1.911409
5.43,1.911357
5.44,1.911304
5.45,1.91125
5.46,1.911195
5.47,1.911138
5.48,1.911081
5.49,1.911022
5.5,1.910962
5.51,1.9109
5.52,1.910838
5.53,1.910775
5.54,1.910711
5.55,1.910645
5.56,1.910577
5.57,1.91051
5.58,1.91044
5.59,1.91037
5.6,1.910298
5.61,1.910225
5.62,1.910151
5.63,1.910076
5.64,1.909999
5.65,1.909922
5.66,1.909843
5.67,1.909763
5.68,1.909683
5.69,1.9096
5.7,1.909517
5.71,1.909432
5.72,1.909346
5.73,1.909259
5.74,1.90917
5.75,1.909081
5.76,1.90899
5.77,1.908898
5.78,1.908805
5.79,1.90871
5.8,1.908615
5.81,1.908518
5.82,1.908419
5.83,1.90832
5.84,1.908219
5.85,1.908117
5.86,1.908014
5.87,1.90791
5.88,1.907803
5.89,1.907697
5.9,1.907589
5.91,1.907479
5.92,1.907368
5.93,1.907256
5.94,1.907143
5.95,1.907028
5.96,1.906911
5.97,1.906794
5.98,1.906675
5.99,1.906556
6,1.906434
6.01,1.906342
6.02,1.906286
6.03,1.906228
6.04,1.906171
6.05,1.906113
6.06,1.906054
6.07,1.905994
6.08,1.905934
6.09,1.905874
6.1,1.905813
6.11,1.905751
6.12,1.905689
6.13,1.905627
6.14,1.905563
6.15,1.9055
6.16,1.905436
6.17,1.905372
6.18,1.905307
6.19,1.905242
6.2,1.905176
6.21,1.90511
6.22,1.905044
6.23,1.904976
6.24,1.904909
6.25,1.904841
6.26,1.904772
6.27,1.904703
6.28,1.904633
6.29,1.904564
6.3,1.904493
6.31,1.904422
6.32,1.904351
6.33,1.90428
6.34,1.904208
6.35,1.904136
6.36,1.904063
6.37,1.90399
6.38,1.903917
6.39,1.903842
6.4,1.903768
6.41,1.903693
6.42,1.903618
6.43,1.903543
6.44,1.903467
6.45,1.903392
6.46,1.903315
6.47,1.903238
6.48,1.903161
6.49,1.903083
6.5,1.903004
6.51,1.902926
6.52,1.902847
6.53,1.902769
6.54,1.902689
6.55,1.90261
6.56,1.902529
6.57,1.902449
6.58,1.902368
6.59,1.902287
6.6,1.902206
6.61,1.902124
6.62,1.902042
6.63,1.90196
6.64,1.901877
6.65,1.901793
6.66,1.90171
6.67,1.901627
6.68,1.901542
6.69,1.901458
6.7,1.901374
6.71,1.901289
6.72,1.901203
6.73,1.901118
6.74,1.901033
6.75,1.900947
6.76,1.90086
6.77,1.900774
6.78,1.900687
6.79,1.9006
6.8,1.900512
6.81,1.900424
6.82,1.900336
6.83,1.900248
6.84,1.900159
6.85,1.900071
6.86,1.899981
6.87,1.899892
6.88,1.899803
6.89,1.899712
6.9,1.899623
6.91,1.899532
6.92,1.899442
6.93,1.89935
6.94,1.899259
6.95,1.899169
6.96,1.899076
6.97,1.898985
6.98,1.898893
6.99,1.8988
7,1.898723
7.01,1.898677
7.02,1.898631
7.03,1.898585
7.04,1.89854
7.05,1.898494
7.06,1.898448
7.07,1.898402
7.08,1.898356
7.09,1.898311
7.1,1.898265
7.11,1.898219
7.12,1.898173
7.13,1.898127
7.14,1.898082
7.15,1.898036
7.16,1.897991
7.17,1.897945
7.18,1.897898
7.19,1.897853
7.2,1.897808
7.21,1.897762
7.22,1.897717
7.23,1.897671
7.24,1.897625
7.25,1.897579
7.26,1.897534
7.27,1.897489
7.28,1.897443
7.29,1.897398
7.3,1.897352
7.31,1.897306
7.32,1.897262
7.33,1.897216
7.34,1.897171
7.35,1.897125
7.36,1.89708
7.37,1.897034
7.38,1.896989
7.39,1.896944
7.4,1.896899
7.41,1.896853
7.42,1.896808
7.43,1.896763
7.44,1.896718
7.45,1.896673
7.46,1.896628
7.47,1.896583
7.48,1.896538
7.49,1.896493
7.5,1.896448
7.51,1.896403
7.52,1.896358
7.53,1.896314
7.54,1.896269
7.55,1.896225
7.56,1.89618
7.57,1.896135
7.58,1.89609
7.59,1.896045
7.6,1.896001
7.61,1.895956
7.62,1.895911
7.63,1.895867
7.64,1.895822
7.65,1.895778
7.66,1.895734
7.67,1.89569
7.68,1.895646
7.69,1.895601
7.7,1.895557
7.71,1.895513
7.72,1.895468
7.73,1.895424
7.74,1.895381
7.75,1.895336
7.76,1.895292
7.77,1.895248
7.78,1.895204
7.79,1.89516
7.8,1.895117
7.81,1.895073
7.82,1.895029
7.83,1.894985
7.84,1.894941
7.85,1.894897
7.86,1.894854
7.87,1.894811
7.88,1.894766
